SEXO;EDAD;P1;RECUVOTOG1R;ESCIDEOL;NIVELESTENTREV;RELIGION;SITLAB;RELALAB;CNO11;INGRESHOG
2;66;1;1;4;4;5;2;0;0;3
1;23;2;2;6;5;1;1;1;3;3
1;26;1;21;1;6;6;1;3;3;4
1;56;1;1;4;4;6;4;0;0;2
2;50;5;3;5;5;2;1;3;7;5
2;66;1;1;1;4;2;2;0;0;6
2;66;1;1;3;9;2;1;1;3;4
2;71;2;1;1;2;2;2;0;0;6
2;35;2;2;7;11;6;1;1;2;4
1;52;4;2;7;9;2;1;1;3;3
1;50;1;2;7;11;2;1;1;1;1
1;30;1;1;3;5;6;1;3;4;3
1;24;2;1;3;7;2;1;1;5;3
1;80;2;902;4;11;2;2;0;0;3
1;53;2;1;2;6;4;1;2;5;3
2;23;4;2;7;10;4;1;1;5;1
2;65;2;3;10;2;2;3;0;0;5
1;58;1;1;3;11;4;1;1;5;1
2;23;1;901;3;5;3;5;0;0;5
2;58;2;21;1;4;4;4;0;0;3
2;58;2;1;4;14;2;1;1;2;4
2;62;1;2;5;5;5;4;0;0;6
2;49;1;2;6;9;2;7;0;0;4
1;64;4;2;9;7;2;2;0;0;6
1;60;2;2;10;4;2;1;3;6;6
1;39;1;21;1;11;6;1;1;2;5
2;34;2;2;6;13;5;1;1;3;2
1;28;2;21;3;10;6;1;1;2;2
1;64;1;1;3;11;1;1;1;2;5
1;28;2;2;5;13;4;1;3;2;2
2;33;2;1;5;9;1;1;1;1;5
1;54;2;1;3;14;6;1;1;2;2
1;47;1;21;3;9;6;1;1;9;3
2;67;2;21;1;5;1;2;0;0;2
1;60;1;21;5;5;2;1;1;3;5
2;60;1;3;8;6;1;2;0;0;4
2;52;2;2;5;11;2;1;1;3;2
1;47;1;1;5;14;1;1;1;5;1
1;48;4;2;5;16;1;1;6;11;4
2;49;1;1;5;9;2;1;1;2;3
2;47;1;2;8;6;2;2;0;0;4
1;43;2;1;2;13;4;1;3;2;4
1;88;2;2;5;4;2;2;0;0;4
1;61;2;2;5;5;2;1;2;6;4
1;53;5;2;6;7;4;1;1;7;4
1;81;2;2;10;4;1;2;0;0;5
1;60;2;1;4;6;2;1;1;4;4
2;61;2;2;5;5;1;1;1;9;3
1;71;2;1;1;6;2;2;0;0;4
1;53;4;2;7;6;5;1;1;3;3
2;50;1;902;5;9;1;1;1;4;6
1;43;1;1;6;7;2;1;1;2;2
2;56;2;2;7;7;2;4;0;0;4
1;45;4;1;10;4;2;1;1;7;5
1;26;4;2;9;10;2;1;1;3;3
1;42;1;21;3;14;6;1;1;2;3
2;74;2;1;3;9;1;2;0;0;2
1;44;2;3;6;6;2;1;3;2;3
1;65;4;2;7;6;2;1;1;4;3
1;50;2;2;5;9;5;1;1;3;9
1;77;1;2;6;11;2;2;0;0;4
1;45;1;1;1;7;2;1;1;3;3
2;62;2;2;5;4;2;7;0;0;4
2;46;1;21;1;7;6;1;5;7;3
2;55;1;1;3;7;5;1;2;1;1
1;58;4;2;5;14;5;1;1;2;1
1;33;4;3;9;5;6;4;0;0;6
2;43;1;21;1;7;6;1;1;5;5
1;61;2;1;3;5;2;1;1;5;4
